path	sentence	sentence_normalized	up_votes	down_votes	age	gender	accent	locale	segment_id	source_id	audio_id	start_time_sec	end_time_sec	duration_sec	audio_quality_score	text_quality_score	speaker_id	split
0wfqIJphIQ8/0wfqIJphIQ8_00002.wav	په اشارو می یو تور پوستی ته وویل چی وګی یم	په اشارو می یو تور پوستی ته وویل چی وګی یم	0	0				ps	0wfqIJphIQ8_00002	youtube_amin_sultani	0wfqIJphIQ8	8.349	13.839	5.49	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00003.wav	روسته وپوهیدم چی د غو ځناورو بیل اصول دی، ما ته یوازی	روسته وپوهیدم چی د غو ځناورو بیل اصول دی، ما ته یوازی	0	0				ps	0wfqIJphIQ8_00003	youtube_amin_sultani	0wfqIJphIQ8	13.839	19.381	5.542	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00004.wav	همه هغه نجلی هر څره کولی شی او نور څوک لاس هم نښی راوړلی هغه په زوره ښه کړ، لالی	همه هغه نجلی هر څره کولی شی او نور څوک لاس هم نښی راوړلی هغه په زوره ښه کړ، لالی	0	0				ps	0wfqIJphIQ8_00004	youtube_amin_sultani	0wfqIJphIQ8	19.381	27.295	7.914	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00005.wav	کتل می چی هغنجلی راغله، وپوهیدم چی نوم یی لالی ده	کتل می چی هغنجلی راغله، وپوهیدم چی نوم یی لالی ده	0	0				ps	0wfqIJphIQ8_00005	youtube_amin_sultani	0wfqIJphIQ8	27.295	32.543	5.248	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00006.wav	ورته می ویل چی وګی یم، هغی وخندل او له لاسی ونیولم	ورته می ویل چی وګی یم، هغی وخندل او له لاسی ونیولم	0	0				ps	0wfqIJphIQ8_00006	youtube_amin_sultani	0wfqIJphIQ8	32.543	37.911	5.368	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00007.wav	یوه داسی څپرګی ته یی بوتلم چی دری ورونی لرل، یو شمال ته یو شرق ته او بل د غرب په طرف	یوه داسی څپرګی ته یی بوتلم چی دری ورونی لرل، یو شمال ته یو شرق ته او بل د غرب په طرف	0	0				ps	0wfqIJphIQ8_00007	youtube_amin_sultani	0wfqIJphIQ8	37.911	45.968	8.057	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00008.wav	عجب قانونی وو، سړی به یی له شرقی دروازی ښځی او جینکیانی به له غربی دروازی څخه او زاړه سړی او ښځی به له شمالی دروازی څخه رانه نوتل،دغه حیرانونکی رسم او ریواج چی زه بیا وروسته پری وپوهیدم، ډیر په پابندی سره به یی	عجب قانونی وو، سړی به یی له شرقی دروازی ښځی او جینکیانی به له غربی دروازی څخه او زاړه سړی او ښځی به له شمالی دروازی څخه رانه نوتل،دغه حیرانونکی رسم او ریواج چی زه بیا وروسته پری وپوهیدم، ډیر په پابندی سره به یی	0	0				ps	0wfqIJphIQ8_00008	youtube_amin_sultani	0wfqIJphIQ8	45.968	63.968	18.0	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00009.wav	فکر ورته کوو، که به کوم سړی په غلطی سره په بله دروازه رانه نه ووت، په سزا برسول کیده د دغو واشیانو دا فکر وو چی سړی او ځوانان د لمر د دیوتا د لمر خدای ته ورتلی دوی باید د شرق په دروازه رانه نه ووځی او ښځی چی له نرانو سره	فکر ورته کوو، که به کوم سړی په غلطی سره په بله دروازه رانه نه ووت، په سزا برسول کیده د دغو واشیانو دا فکر وو چی سړی او ځوانان د لمر د دیوتا د لمر خدای ته ورتلی دوی باید د شرق په دروازه رانه نه ووځی او ښځی چی له نرانو سره	0	0				ps	0wfqIJphIQ8_00009	youtube_amin_sultani	0wfqIJphIQ8	63.968	81.968	18.0	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00010.wav	دوی باید له غربی دروازی رانه نوځی، زړی ښځی او زاړه سړی چی ټولنی ته کومه ښیګڼه نه شی رسولی	دوی باید له غربی دروازی رانه نوځی، زړی ښځی او زاړه سړی چی ټولنی ته کومه ښیګڼه نه شی رسولی	0	0				ps	0wfqIJphIQ8_00010	youtube_amin_sultani	0wfqIJphIQ8	84.339	91.27	6.931	100.0	0.0		
0wfqIJphIQ8/0wfqIJphIQ8_00011.wav	د هغوی حق له شمال دروازی نرانه نه وتل وو، دلته د زړو سړو او زړو ښځو هیڅ عزت نه وو، کله کله به چی کومه زړه ښځه په مرز ډیره ورنځی ده، نو بی دریغه به په ګولی وویشتل کی ده، په څپرګی کی لانده وچ واښه اچه وو	د هغوی حق له شمال دروازی نرانه نه وتل وو، دلته د زړو سړو او زړو ښځو هیڅ عزت نه وو، کله کله به چی کومه زړه ښځه په مرز ډیره ورنځی ده، نو بی دریغه به په ګولی وویشتل کی ده، په څپرګی کی لانده وچ واښه اچه وو	0	0				ps	0wfqIJphIQ8_00011	youtube_amin_sultani	0wfqIJphIQ8	91.27	109.27	18.0	100.0	0.0		
